_cid,player_name,key_mlbam,year,position,guarantee_total_real_2025,term_start_year,ISI_lb3_lamdba_35,isi_D_days_lb3_lamdba_35,isi_N_stints_lb3_lamdba_35,recency_weighted_days_lb3_lamdba_35,recency_weighted_days_rate_lb3_lamdba_35,durability_days_rate_lb3_lamdba_35,injury_burden_lb3_lamdba_35,any_surgery_flag_lb3_lamdba_35,any_structural_flag_lb3_lamdba_35,any_tier3_plus_flag_lb3_lamdba_35,arm_days_lb3_lamdba_35,arm_share_days_lb3_lamdba_35,isi_window_seasons_avail_lb3_lamdba_35,isi_full_window_flag_lb3_lamdba_35,ISI_lb3_lamdba_5,isi_D_days_lb3_lamdba_5,isi_N_stints_lb3_lamdba_5,recency_weighted_days_lb3_lamdba_5,recency_weighted_days_rate_lb3_lamdba_5,durability_days_rate_lb3_lamdba_5,injury_burden_lb3_lamdba_5,any_surgery_flag_lb3_lamdba_5,any_structural_flag_lb3_lamdba_5,any_tier3_plus_flag_lb3_lamdba_5,arm_days_lb3_lamdba_5,arm_share_days_lb3_lamdba_5,isi_window_seasons_avail_lb3_lamdba_5,isi_full_window_flag_lb3_lamdba_5,ISI_lb3_lamdba_7,isi_D_days_lb3_lamdba_7,isi_N_stints_lb3_lamdba_7,recency_weighted_days_lb3_lamdba_7,recency_weighted_days_rate_lb3_lamdba_7,durability_days_rate_lb3_lamdba_7,injury_burden_lb3_lamdba_7,any_surgery_flag_lb3_lamdba_7,any_structural_flag_lb3_lamdba_7,any_tier3_plus_flag_lb3_lamdba_7,arm_days_lb3_lamdba_7,arm_share_days_lb3_lamdba_7,isi_window_seasons_avail_lb3_lamdba_7,isi_full_window_flag_lb3_lamdba_7,ISI_lb5_lamdba_35,isi_D_days_lb5_lamdba_35,isi_N_stints_lb5_lamdba_35,recency_weighted_days_lb5_lamdba_35,recency_weighted_days_rate_lb5_lamdba_35,durability_days_rate_lb5_lamdba_35,injury_burden_lb5_lamdba_35,any_surgery_flag_lb5_lamdba_35,any_structural_flag_lb5_lamdba_35,any_tier3_plus_flag_lb5_lamdba_35,arm_days_lb5_lamdba_35,arm_share_days_lb5_lamdba_35,isi_window_seasons_avail_lb5_lamdba_35,isi_full_window_flag_lb5_lamdba_35,ISI_lb5_lamdba_5,isi_D_days_lb5_lamdba_5,isi_N_stints_lb5_lamdba_5,recency_weighted_days_lb5_lamdba_5,recency_weighted_days_rate_lb5_lamdba_5,durability_days_rate_lb5_lamdba_5,injury_burden_lb5_lamdba_5,any_surgery_flag_lb5_lamdba_5,any_structural_flag_lb5_lamdba_5,any_tier3_plus_flag_lb5_lamdba_5,arm_days_lb5_lamdba_5,arm_share_days_lb5_lamdba_5,isi_window_seasons_avail_lb5_lamdba_5,isi_full_window_flag_lb5_lamdba_5,ISI_lb5_lamdba_7,isi_D_days_lb5_lamdba_7,isi_N_stints_lb5_lamdba_7,recency_weighted_days_lb5_lamdba_7,recency_weighted_days_rate_lb5_lamdba_7,durability_days_rate_lb5_lamdba_7,injury_burden_lb5_lamdba_7,any_surgery_flag_lb5_lamdba_7,any_structural_flag_lb5_lamdba_7,any_tier_3plus_flag_lb5_lamdba_7,arm_days_lb5_lamdba_7,arm_share_days_lb5_lamdba_7,isi_window_seasons_avail_lb5_lamdba_7,isi_full_window_flag_lb5_lamdba_7
143,"Simmons, Andrelton",592743,2022,ss,4395752.136,2022,0.130864166,37,2,18.04129239,0.007315381,0.033789954,0.007288753,0,0,0,0,0,2,FALSE,0.129793574,37,2,13.18914955,0.005347934,0.033789954,0.005333685,0,0,0,0,0,2,FALSE,0.128814711,37,2,8.760819005,0.003552336,0.033789954,0.003546041,0,0,0,0,0,2,FALSE,0.124334191,37,2,18.04129239,0.004389228,0.020273973,0.004379624,0,0,0,0,0,2,FALSE,0.123691835,37,2,13.18914955,0.003208761,0.020273973,0.003203624,0,0,0,0,0,2,FALSE,0.123104518,37,2,8.760819005,0.002131401,0.020273973,0.002129133,0,0,0,0,0,2,FALSE
144,"Robertson, David",502085,2022,rhp,3846283.119,2022,0.298502149,410,1,384.9397684,0.156085322,0.374429224,0.145039576,1,1,1,410,1,2,FALSE,0.286299761,410,1,264.5649758,0.107275769,0.374429224,0.101902736,1,1,1,410,1,2,FALSE,0.275747329,410,1,160.4667693,0.065066043,0.374429224,0.063036809,1,1,1,410,1,2,FALSE,0.208007772,410,1,384.9397684,0.093651193,0.224657534,0.089521817,1,1,1,410,1,2,FALSE,0.200686339,410,1,264.5649758,0.064365461,0.224657534,0.062378811,1,1,1,410,1,2,FALSE,0.19435488,410,1,160.4667693,0.039039626,0.224657534,0.03829685,1,1,1,410,1,2,FALSE
145,"Boxberger, Brad",502202,2023,rhp,2955050.37,2023,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,3,FALSE
146,"Thielbar, Caleb",573204,2025,lhp,2750000,2025,0.246735799,179,4,87.68701338,0.035555318,0.16347032,0.034937822,0,0,0,0,0,3,TRUE,0.241634818,179,4,64.80768808,0.026278212,0.16347032,0.025938872,0,0,0,0,0,3,TRUE,0.236964152,179,4,43.82894996,0.017771756,0.16347032,0.017615685,0,0,0,0,0,3,TRUE,0.255074835,200,6,92.32398256,0.022461309,0.109589041,0.022212769,0,0,0,0,0,5,TRUE,0.251721948,200,6,67.16863071,0.016341316,0.109589041,0.016209234,0,0,0,0,0,5,TRUE,0.248739619,200,6,44.7888376,0.010896583,0.109589041,0.010837643,0,0,0,0,0,5,TRUE
147,"Chafin, Andrew",605177,2021,lhp,3263623.646,2021,0.087602586,33,1,19.52132702,0.007915505,0.030136986,0.007884342,0,0,0,0,0,1,FALSE,0.086704588,33,1,15.58809624,0.006320659,0.030136986,0.006300767,0,0,0,0,0,1,FALSE,0.085782179,33,1,11.54794572,0.004682459,0.030136986,0.004671531,0,0,0,0,0,1,FALSE,0.081468034,33,1,19.52132702,0.004749303,0.018082192,0.004738061,0,0,0,0,0,1,FALSE,0.080929235,33,1,15.58809624,0.003792395,0.018082192,0.003785222,0,0,0,0,0,1,FALSE,0.08037579,33,1,11.54794572,0.002809476,0.018082192,0.002805536,0,0,0,0,0,1,FALSE
148,"Martin, Chris",,2022,rhp,2747345.085,2022,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE
149,"Norris, Daniel",,2022,lhp,1923141.56,2022,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE
150,"Marisnick, Jake",545350,2021,cf,1780158.353,2021,0.146486122,68,2,42.23705302,0.017126274,0.062100457,0.016981273,0,0,0,0,0,1,FALSE,0.144635702,68,2,33.72697187,0.013675608,0.062100457,0.013582941,0,0,0,0,0,1,FALSE,0.142734981,68,2,24.98555529,0.010131139,0.062100457,0.010080163,0,0,0,0,0,1,FALSE,0.133707364,68,2,42.23705302,0.010275765,0.037260274,0.010223328,0,0,0,0,0,1,FALSE,0.132597112,68,2,33.72697187,0.008205365,0.037260274,0.008171884,0,0,0,0,0,1,FALSE,0.131456679,68,2,24.98555529,0.006078684,0.037260274,0.006060283,0,0,0,0,0,1,FALSE
151,"Romine, Austin",519222,2021,c,1780158.353,2021,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE
152,"Workman, Brandon",519443,2021,rhp,1186772.235,2021,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE
153,"Flexen, Chris",623167,2025,rhp-s,,2025,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,5,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,5,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,5,TRUE
154,"Jankowski, Travis",608671,2025,cf,,2025,0.143279033,65,2,28.60257583,0.011597768,0.059360731,0.01153103,1,1,1,0,0,3,TRUE,0.141451084,65,2,17.75807166,0.00720054,0.059360731,0.00717474,1,1,1,0,0,3,TRUE,0.140037561,65,2,9.479894718,0.003843906,0.059360731,0.003836537,1,1,1,0,0,3,TRUE,0.189081144,82,4,32.78713,0.007976712,0.044931507,0.007945067,1,1,1,0,0,5,TRUE,0.187747753,82,4,19.88866428,0.004838672,0.044931507,0.004827003,1,1,1,0,0,5,TRUE,0.186753981,82,4,10.34612904,0.002517088,0.044931507,0.002513926,1,1,1,0,0,5,TRUE
155,"Kriske, Brooks",621139,2025,rhp,,2025,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,5,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,5,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,5,TRUE
156,"Cooper, Garrett",,2024,1b,,2024,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,4,FALSE
157,"Edwards, Carl",,2024,rhp,,2024,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,4,FALSE
158,"Peralta, David",444482,2024,lf,,2024,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,4,FALSE
159,"Chavez, Jesse",445926,2022,rhp,,2022,0.078639023,15,1,6.252930295,0.002535437,0.01369863,0.002532228,0,0,0,0,0,2,FALSE,0.078192594,15,1,4.297571953,0.001742579,0.01369863,0.001741062,0,0,0,0,0,2,FALSE,0.07780653,15,1,2.606609152,0.001056928,0.01369863,0.001056369,0,0,0,0,0,2,FALSE,0.076089897,15,1,6.252930295,0.001521262,0.008219178,0.001520106,0,0,0,0,0,2,FALSE,0.075822039,15,1,4.297571953,0.001045547,0.008219178,0.001045001,0,0,0,0,0,2,FALSE,0.075590401,15,1,2.606609152,0.000634157,0.008219178,0.000633956,0,0,0,0,0,2,FALSE
160,"Maybin, Cameron",457727,2021,lf-cf,,2021,0.079313316,15,1,9.316996989,0.003777855,0.01369863,0.003770736,0,0,0,0,0,1,FALSE,0.078905135,15,1,7.439773206,0.003016678,0.01369863,0.003012137,0,0,0,0,0,1,FALSE,0.078485858,15,1,5.511519549,0.00223481,0.01369863,0.002232317,0,0,0,0,0,1,FALSE,0.076494472,15,1,9.316996989,0.002266713,0.008219178,0.002264148,0,0,0,0,0,1,FALSE,0.076249563,15,1,7.439773206,0.001810007,0.008219178,0.001808371,0,0,0,0,0,1,FALSE,0.075997997,15,1,5.511519549,0.001340886,0.008219178,0.001339988,0,0,0,0,0,1,FALSE
161,"Sogard, Eric",519299,2021,2b,,2021,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE
162,"Kipnis, Jason",543401,2020,2b-of,,2020,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE
163,"Morrow, Brandon",453344,2020,rhp,,2020,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE
164,"Benintendi, Andrew",643217,2023,lf,79153134.9,2023,0.188071994,99,3,49.93878854,0.020249173,0.090410959,0.020046885,1,1,1,0,0,3,TRUE,0.185315741,99,3,35.93633142,0.014571459,0.090410959,0.014466315,1,1,1,0,0,3,TRUE,0.182978009,99,3,23.73675351,0.009624775,0.090410959,0.009578752,1,1,1,0,0,3,TRUE,0.170656162,99,3,49.93878854,0.012149504,0.054246575,0.012076291,1,1,1,0,0,3,FALSE,0.16900241,99,3,35.93633142,0.008742875,0.054246575,0.008704878,1,1,1,0,0,3,FALSE,0.16759977,99,3,23.73675351,0.005774865,0.054246575,0.005758255,1,1,1,0,0,3,FALSE
165,"Grandal, Yasmani",518735,2020,c,90688097.9,2020,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE
166,"Keuchel, Dallas",572971,2020,lhp-s,68947800.46,2020,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE
167,"Hendriks, Liam",521230,2021,rhp,64085700.69,2021,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE
168,"Abreu, Jose",602927,2020,1b,62115135.55,2020,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE
169,"Graveman, Kendall",608665,2022,rhp,26374512.82,2022,0.136114897,49,2,23.74541251,0.009628286,0.044748858,0.00958223,0,0,0,0,0,2,FALSE,0.134705011,49,2,17.57010841,0.007124325,0.044748858,0.007099067,0,0,0,0,0,2,FALSE,0.133401798,49,2,11.86203554,0.004809816,0.044748858,0.004798286,0,0,0,0,0,2,FALSE,0.127484629,49,2,23.74541251,0.005776972,0.026849315,0.005760349,0,0,0,0,0,2,FALSE,0.126638697,49,2,17.57010841,0.004274595,0.026849315,0.004265485,0,0,0,0,0,2,FALSE,0.12585677,49,2,11.86203554,0.00288589,0.026849315,0.002881734,0,0,0,0,0,2,FALSE
170,"Kelly, Joe",,2022,rhp,18681946.58,2022,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE
171,"Garcia, Leury",544725,2022,cf-2b,18132477.56,2022,0.142021225,63,2,29.68685368,0.012037421,0.057534247,0.011965548,0,0,0,0,0,2,FALSE,0.140179372,63,2,21.38711981,0.008672046,0.057534247,0.00863466,0,0,0,0,0,2,FALSE,0.138529117,63,2,13.92026652,0.005644388,0.057534247,0.005628518,0,0,0,0,0,2,FALSE,0.131028426,63,2,29.68685368,0.007222453,0.034520548,0.007196496,0,0,0,0,0,2,FALSE,0.129923314,63,2,21.38711981,0.005203228,0.034520548,0.005189738,0,0,0,0,0,2,FALSE,0.128933161,63,2,13.92026652,0.003386633,0.034520548,0.003380911,0,0,0,0,0,2,FALSE
172,"Clevinger, Mike",605182,2023,rhp-s,12664501.58,2023,0.218961616,66,5,47.69932736,0.019341116,0.060273973,0.019156454,1,1,1,19,0.287878788,3,TRUE,0.21716562,66,5,38.08868652,0.015444195,0.060273973,0.015326147,1,1,1,19,0.287878788,3,TRUE,0.215320802,66,5,28.21679298,0.011441341,0.060273973,0.011376384,1,1,1,19,0.287878788,3,TRUE,0.206099143,66,5,47.69932736,0.01160467,0.036164384,0.011537852,1,1,1,19,0.287878788,3,FALSE,0.205021545,66,5,38.08868652,0.009266517,0.036164384,0.009223846,1,1,1,19,0.287878788,3,FALSE,0.203914655,66,5,28.21679298,0.006864805,0.036164384,0.006841349,1,1,1,19,0.287878788,3,FALSE
173,"Encarnacion, Edwin",429665,2020,dh-1b,14907632.53,2020,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE
174,"Eaton, Adam",284566,2021,rf,9494177.88,2021,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE
175,"Cishek, Steve",518553,2020,rhp,7453816.266,2020,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE
176,"Brebbia, John",605154,2024,rhp,5638147.328,2024,0.350434907,458,2,302.1367322,0.122510359,0.41826484,0.115567569,1,1,1,377,0.823144105,3,TRUE,0.337903362,458,2,189.6390111,0.076894799,0.41826484,0.074081714,1,1,1,377,0.823144105,3,TRUE,0.328109565,458,2,104.4511867,0.042352852,0.41826484,0.041480516,1,1,1,377,0.823144105,3,TRUE,0.321442408,575,3,356.6859652,0.086777385,0.315068493,0.083216789,1,1,1,494,0.859130435,4,FALSE,0.312294963,575,3,217.4131033,0.052893981,0.315068493,0.051542545,1,1,1,494,0.859130435,4,FALSE,0.305416218,575,3,115.7432899,0.028158944,0.315068493,0.02776977,1,1,1,494,0.859130435,4,FALSE
177,"Harrison, Josh",,2022,2b,6044159.187,2022,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE
178,"Pérez, Martín",,2025,lhp-s,5000000,2025,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,5,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,5,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,5,TRUE
179,"Gonzalez, Gio",461829,2020,lhp-s,6211513.555,2020,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE
180,"Maldonado, Martín",455117,2024,c,4356750.208,2024,0.074646697,6,1,1.762546202,0.000714677,0.005479452,0.000714422,0,0,0,0,0,3,TRUE,0.074482336,6,1,1.042643661,0.000422771,0.005479452,0.000422682,0,0,0,0,0,3,TRUE,0.0743625,6,1,0.517761519,0.000209942,0.005479452,0.00020992,0,0,0,0,0,3,TRUE,0.073694501,6,1,1.762546202,0.000428806,0.003287671,0.000428714,0,0,0,0,0,4,FALSE,0.073595884,6,1,1.042643661,0.000253663,0.003287671,0.00025363,0,0,0,0,0,4,FALSE,0.073523982,6,1,0.517761519,0.000125965,0.003287671,0.000125957,0,0,0,0,0,4,FALSE
181,"Clevinger, Mike",605182,2024,rhp-s,3075353.088,2024,0.27650541,127,7,80.40000109,0.032600581,0.115981735,0.032080456,1,1,1,64,0.503937008,3,TRUE,0.272881188,127,7,60.46201728,0.02451613,0.115981735,0.024220433,1,1,1,64,0.503937008,3,TRUE,0.269477445,127,7,41.68905871,0.016904074,0.115981735,0.01676279,1,1,1,64,0.503937008,3,TRUE,0.252622694,127,7,80.40000109,0.019560349,0.069589041,0.019371504,1,1,1,64,0.503937008,4,FALSE,0.25044816,127,7,60.46201728,0.014709678,0.069589041,0.01460254,1,1,1,64,0.503937008,4,FALSE,0.248405915,127,7,41.68905871,0.010142444,0.069589041,0.010091355,1,1,1,64,0.503937008,4,FALSE
182,"Andrus, Elvis",462101,2023,ss,3166125.396,2023,0.157145862,31,3,10.01713758,0.004061748,0.028310502,0.004053521,0,1,0,0,0,3,TRUE,0.156296661,31,3,5.925691472,0.002402749,0.028310502,0.002399867,0,1,0,0,0,3,TRUE,0.155677508,31,3,2.9426113,0.00119317,0.028310502,0.001192458,0,1,0,0,0,3,TRUE,0.152100482,31,3,10.01713758,0.002437049,0.016986301,0.002434084,0,1,0,0,0,3,FALSE,0.151590962,31,3,5.925691472,0.001441649,0.016986301,0.001440611,0,1,0,0,0,3,FALSE,0.15121947,31,3,2.9426113,0.000715902,0.016986301,0.000715646,0,1,0,0,0,3,FALSE
183,"Velasquez, Vincent",,2022,rhp-s,3296814.102,2022,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE
184,"Slater, Austin",596103,2025,of,1750000,2025,0.237982408,118,5,53.8545756,0.021836946,0.107762557,0.021601935,0,1,0,0,0,3,TRUE,0.234617322,118,5,37.94897135,0.015387543,0.107762557,0.015270356,0,1,0,0,0,3,TRUE,0.231718721,118,5,24.21273075,0.009817775,0.107762557,0.009769893,0,1,0,0,0,3,TRUE,0.252745216,141,7,58.16599507,0.014151084,0.077260274,0.014051892,0,1,0,0,0,5,TRUE,0.250446427,141,7,39.97345392,0.009725058,0.077260274,0.009678074,0,1,0,0,0,5,TRUE,0.248551089,141,7,24.95808596,0.006072001,0.077260274,0.00605364,0,1,0,0,0,5,TRUE
185,"Flexen, Chris",623167,2024,rhp-s,1793955.968,2024,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,4,FALSE
186,"Clevinger, Mike",605182,2025,rhp-s,,2025,0.303608639,187,7,112.6148071,0.045663036,0.170776256,0.044651168,1,1,1,64,0.342245989,3,TRUE,0.298352464,187,7,81.3553451,0.032987954,0.170776256,0.032455529,1,1,1,64,0.342245989,3,TRUE,0.293787164,187,7,53.80436029,0.021816584,0.170776256,0.021582008,1,1,1,64,0.342245989,3,TRUE,0.281164467,187,8,112.6148071,0.027397822,0.102465753,0.027029219,1,1,1,64,0.342245989,5,TRUE,0.278010761,187,8,81.3553451,0.019792772,0.102465753,0.019599442,1,1,1,64,0.342245989,5,TRUE,0.275271581,187,8,53.80436029,0.013089951,0.102465753,0.013005018,1,1,1,64,0.342245989,5,TRUE
187,"Drury, Brandon",592273,2025,3b-dh,,2025,0.185393081,89,3,50.07614372,0.020304868,0.081278539,0.020101472,0,1,0,36,0.404494382,3,TRUE,0.182877054,89,3,36.75983372,0.014905372,0.081278539,0.014795379,0,1,0,36,0.404494382,3,TRUE,0.180572783,89,3,24.6745209,0.010005021,0.081278539,0.009955302,0,1,0,36,0.404494382,3,TRUE,0.198073632,114,4,54.47976813,0.013254269,0.062465753,0.0131672,0,1,0,36,0.315789474,5,TRUE,0.196283372,114,4,38.68965603,0.009412726,0.062465753,0.009368702,0,1,0,36,0.315789474,5,TRUE,0.194754754,114,4,25.31690294,0.006159297,0.062465753,0.006140406,0,1,0,36,0.315789474,5,TRUE
188,"Gallo, Joey",608336,2025,rf,,2025,0.258517517,118,6,76.06592023,0.030843198,0.107762557,0.030377107,1,1,1,21,0.177966102,3,TRUE,0.255244753,118,6,59.41687131,0.024092345,0.107762557,0.023806703,1,1,1,21,0.177966102,3,TRUE,0.25202352,118,6,42.94331578,0.01741265,0.107762557,0.017262787,1,1,1,21,0.177966102,3,TRUE,0.236261267,118,6,76.06592023,0.018505919,0.064657534,0.018336768,1,1,1,21,0.177966102,5,TRUE,0.234297608,118,6,59.41687131,0.014455407,0.064657534,0.014351923,1,1,1,21,0.177966102,5,TRUE,0.232364868,118,6,42.94331578,0.01044759,0.064657534,0.010393391,1,1,1,21,0.177966102,5,TRUE
